iter	Passed	Remaining
323	6709949	34709491
324	6728380	34677039
325	6750433	34663266
326	6775508	34664909
327	6804972	34688759
328	6831349	34696610
329	6858851	34709946
330	6885167	34717054
331	6915018	34741717
332	6940766	34745519
333	6968075	34756928
334	6991618	34749385
335	7019153	34761521
336	7046634	34773154
337	7071014	34769307
338	7094360	34760271
339	7126406	34793632
340	7153478	34802406
341	7175587	34786914
342	7202587	34795007
343	7225273	34782132
344	7253271	34794681
345	7281388	34807564
346	7306482	34805806
347	7324357	34769649
348	7344623	34744907
349	7362794	34710316
350	7384794	34693805
351	7406695	34676803
352	7431580	34673690
353	7451984	34649621
354	7469996	34614489
355	7495044	34611948
356	7515736	34589229
357	7538740	34577129
358	7562069	34566451
359	7584918	34553517
360	7605168	34528729
361	7627116	34511646
362	7648701	34492906
363	7670012	34472914
364	7690988	34451412
365	7710154	34421836
366	7730410	34397169
367	7749819	34368763
368	7771334	34349719
369	7789897	34317657
370	7808707	34286750
371	7827523	34255934
372	7847587	34230631
373	7872730	34227432
374	7891633	34197079
375	7912334	34174551
376	7932359	34149122
377	7954287	34131888
378	7977908	34121870
379	7996749	34091404
380	8016131	34063300
381	8037442	34043406
382	8054805	34006844
383	8071690	33968365
384	8091234	33941150
385	8115803	33934992
386	8139067	33923296
387	8159515	33899842
388	8181914	33884482
389	8203174	33864389
390	8222346	33835693
391	8239990	33800777
392	8261341	33781109
393	8278820	33745648
394	8297612	33715614
395	8316611	33686477
396	8337082	33663332
397	8354930	33629646
398	8374855	33604371
399	8396003	33584014
400	8415955	33558886
401	8436711	33536979
402	8453069	33497646
403	8470026	33460796
404	8490337	33437255
405	8514034	33427023
406	8538485	33419675
407	8560121	33401259
408	8583393	33389190
409	8603505	33364812
410	8629283	33362365
411	8657182	33367973
412	8681163	33358368
413	8704597	33346597
414	8735034	33361516
415	8764780	33373585
416	8794860	33386724
417	8833739	33432957
418	8865502	33451933
419	8896651	33468355
420	8930271	33493819
421	8957256	33494197
422	8990335	33517162
423	9020427	33528758
424	9045880	33522970
425	9075190	33531336
426	9114097	33574883
427	9145598	33590841
428	9176085	33602868
429	9208688	33622421
430	9242014	33644365
431	9269637	33645350
432	9300191	33656812
433	9330842	33668431
434	9358398	33668720
435	9387886	33675814
436	9421558	33697702
437	9458781	33732000
438	9504280	33795403
439	9543880	33837395
440	9571994	33838412
441	9604136	33853496
442	9644476	33897179
443	9682466	33932248
444	9724402	33980777
445	9763300	34018316
446	9796943	34037256
447	9817992	34012331
448	9841970	33997541
449	9865539	33981304
450	9888418	33962662
451	9913325	33950945
452	9936659	33933800
453	9961561	33921970
454	9984727	33904185
455	10008224	33887497
456	10032296	33872721
457	10056920	33859763
458	10078045	33835005
459	10096560	33801529
460	10119987	33784512
461	10145900	33775746
462	10168306	33755262
463	10189080	33729370
464	10212542	33712370
465	10233396	33686758
466	10255339	33664744
467	10280042	33651764
468	10302194	33630405
469	10325308	33612175
470	10344393	33580844
471	10369557	33569245
472	10394739	33557647
473	10415075	33530391
474	10440872	33520697
475	10463854	33501920
476	10486614	33482420
477	10507821	33457957
478	10529588	33435289
479	10554297	33421943
480	10577339	33403281
481	10598893	33379916
482	10626897	33376819
483	10647578	33350678
484	10674957	33345485
485	10698037	33326808
486	10721146	33308202
487	10745866	33294568
488	10768409	33274164
489	10790538	33252475
490	10815840	33240536
491	10841051	33228263
492	10862525	33204515
493	10887670	33191967
494	10912018	33176945
495	10931949	33148493
496	10955839	33132045
497	10976852	33106891
498	11000835	33090690
499	11025365	33076097
500	11047804	33055206
501	11068839	33030123
502	11088435	33000771
503	11110955	32980136
504	11131810	32954567
505	11155793	32938252
506	11176262	32911556
507	11197137	32886080
508	11220427	32867697
509	11245622	32854858
510	11265692	32827038
511	11286629	32801767
512	11306417	32773181
513	11328172	32750318
514	11346799	32718441
515	11368441	32695284
516	11390967	32674670
517	11414032	32655590
518	11435337	32631474
519	11458644	32613065
520	11481356	32592947
521	11500156	32561744
522	11521956	32539063
523	11539957	32505681
524	11557558	32471234
525	11576081	32439438
526	11595368	32409824
527	11618362	32390586
528	11639162	32365232
529	11659015	32337268
530	11679749	32311775
531	11701083	32287951
532	11724130	32268855
533	11747712	32251211
534	11767599	32223425
535	11788931	32199618
536	11806263	32164921
537	11822680	32127803
538	11846436	32110656
539	11869799	32092419
540	11892879	32073404
541	11914508	32050466
542	11937022	32029912
543	11957169	32003011
544	11977248	31975957
545	11997272	31948781
546	12022107	31934409
547	12043520	31910934
548	12062867	31882005
549	12083964	31857724
550	12105217	31833865
551	12123482	31802177
552	12143248	31774467
553	12164526	31750732
554	12184941	31724757
555	12208861	31707905
556	12229907	31683585
557	12249641	31655883
558	12273090	31637787
559	12295401	31616746
560	12314717	31588019
561	12338834	31571607
562	12359948	31547505
563	12379597	31519684
564	12402351	31499776
565	12422903	31474280
566	12444570	31451620
567	12466452	31429508
568	12490457	31412731
569	12512473	31390943
570	12531382	31361376
571	12551532	31334945
572	12572739	31311169
573	12594288	31288248
574	12614572	31262200
575	12636811	31241006
576	12655874	31211974
577	12679195	31193454
578	12701903	31173410
579	12725605	31155792
580	12747569	31133910
581	12767798	31107797
